subj,rel,obj,valid,transitivity
Task,linksMetric,Metric,n,
Task,linksMethod,Method,y,y
Task,linksTask,Task,y,y
Task,linksOtherEntity,OtherEntity,y,y
Task,linksMaterial,Material,y,
OtherEntity,linksMetric,Metric,n,
OtherEntity,linksMethod,Method,y,y
OtherEntity,linksTask,Task,y,y
OtherEntity,linksOtherEntity,OtherEntity,y,y
OtherEntity,linksMaterial,Material,n,
Material,linksMetric,Metric,n,
Material,linksMethod,Method,n,
Material,linksTask,Task,n,
Material,linksOtherEntity,OtherEntity,n,
Material,linksMaterial,Material,n,
Metric,matchesMetric,Metric,n,
Metric,matchesMethod,Method,n,
Metric,matchesTask,Task,n,
Metric,matchesOtherEntity,OtherEntity,n,
Metric,matchesMaterial,Material,n,
Method,matchesMetric,Metric,y,n
Method,matchesMethod,Method,y,
Method,matchesTask,Task,y,
Method,matchesOtherEntity,OtherEntity,n,
Method,matchesMaterial,Material,n,
Task,matchesMetric,Metric,n,
Task,matchesMethod,Method,y,
Task,matchesTask,Task,y,
Task,matchesOtherEntity,OtherEntity,n,
Task,matchesMaterial,Material,n,
OtherEntity,matchesMetric,Metric,n,
OtherEntity,matchesMethod,Method,n,
OtherEntity,matchesTask,Task,n,
OtherEntity,matchesOtherEntity,OtherEntity,n,
OtherEntity,matchesMaterial,Material,n,
Material,matchesMetric,Metric,n,
Material,matchesMethod,Method,n,
Material,matchesTask,Task,n,
Material,matchesOtherEntity,OtherEntity,n,
Material,matchesMaterial,Material,n,
Metric,managesMetric,Metric,n,
Metric,managesMethod,Method,n,
Metric,managesTask,Task,n,
Metric,managesOtherEntity,OtherEntity,n,
Metric,managesMaterial,Material,n,
Method,managesMetric,Metric,y,n
Method,managesMethod,Method,y,y
Method,managesTask,Task,y,y
Method,managesOtherEntity,OtherEntity,y,y
Method,managesMaterial,Material,y,n
Task,managesMetric,Metric,y,n
Task,managesMethod,Method,y,y
Task,managesTask,Task,y,y
Task,managesOtherEntity,OtherEntity,y,y
Task,managesMaterial,Material,y,n
OtherEntity,managesMetric,Metric,n,
OtherEntity,managesMethod,Method,n,
OtherEntity,managesTask,Task,n,
OtherEntity,managesOtherEntity,OtherEntity,n,
OtherEntity,managesMaterial,Material,n,
Material,managesMetric,Metric,n,
Material,managesMethod,Method,n,
Material,managesTask,Task,n,
Material,managesOtherEntity,OtherEntity,n,
Material,managesMaterial,Material,n,
Metric,interacts-withMetric,Metric,y,
Metric,interacts-withMethod,Method,y,
Metric,interacts-withTask,Task,y,
Metric,interacts-withOtherEntity,OtherEntity,y,
Metric,interacts-withMaterial,Material,y,
Method,interacts-withMetric,Metric,y,
Method,interacts-withMethod,Method,y,
Method,interacts-withTask,Task,y,
Method,interacts-withOtherEntity,OtherEntity,y,
Method,interacts-withMaterial,Material,y,
Task,interacts-withMetric,Metric,y,
Task,interacts-withMethod,Method,y,
Task,interacts-withTask,Task,y,
Task,interacts-withOtherEntity,OtherEntity,y,
Task,interacts-withMaterial,Material,y,
OtherEntity,interacts-withMetric,Metric,y,
OtherEntity,interacts-withMethod,Method,y,
OtherEntity,interacts-withTask,Task,y,
OtherEntity,interacts-withOtherEntity,OtherEntity,y,
OtherEntity,interacts-withMaterial,Material,y,
Material,interacts-withMetric,Metric,y,
Material,interacts-withMethod,Method,y,
Material,interacts-withTask,Task,y,
Material,interacts-withOtherEntity,OtherEntity,y,
Material,interacts-withMaterial,Material,y,
Metric,queriesMetric,Metric,n,
Metric,queriesMethod,Method,n,
Metric,queriesTask,Task,n,
Metric,queriesOtherEntity,OtherEntity,n,
Metric,queriesMaterial,Material,n,
Method,queriesMetric,Metric,n,
Method,queriesMethod,Method,n,
Method,queriesTask,Task,n,
Method,queriesOtherEntity,OtherEntity,y,n
Method,queriesMaterial,Material,y,n
Task,queriesMetric,Metric,n,
Task,queriesMethod,Method,n,
Task,queriesTask,Task,n,
Task,queriesOtherEntity,OtherEntity,y,n
Task,queriesMaterial,Material,y,n
OtherEntity,queriesMetric,Metric,n,
OtherEntity,queriesMethod,Method,n,
OtherEntity,queriesTask,Task,n,
OtherEntity,queriesOtherEntity,OtherEntity,n,
OtherEntity,queriesMaterial,Material,n,
Material,queriesMetric,Metric,n,
Material,queriesMethod,Method,n,
Material,queriesTask,Task,n,
Material,queriesOtherEntity,OtherEntity,n,
Material,queriesMaterial,Material,n,
Metric,guidesMetric,Metric,y,y
Metric,guidesMethod,Method,y,n
Metric,guidesTask,Task,n,
Metric,guidesOtherEntity,OtherEntity,y,n
Metric,guidesMaterial,Material,n,
Method,guidesMetric,Metric,y,n
Method,guidesMethod,Method,y,n
Method,guidesTask,Task,y,
Method,guidesOtherEntity,OtherEntity,y,n
Method,guidesMaterial,Material,n,n
Task,guidesMetric,Metric,y,n
Task,guidesMethod,Method,y,n
Task,guidesTask,Task,y,
Task,guidesOtherEntity,OtherEntity,y,n
Task,guidesMaterial,Material,n,n
OtherEntity,guidesMetric,Metric,y,n
OtherEntity,guidesMethod,Method,y,n
OtherEntity,guidesTask,Task,y,n
OtherEntity,guidesOtherEntity,OtherEntity,y,n
OtherEntity,guidesMaterial,Material,y,n
Material,guidesMetric,Metric,n,
Material,guidesMethod,Method,n,
Material,guidesTask,Task,n,
Material,guidesOtherEntity,OtherEntity,n,
Material,guidesMaterial,Material,n,
